Country id,Province or State id,Province or State,Country ,County id,County,State,Country
,,,,Bent_Colorado_UnitedStates,Bent,Colorado,United States
,,,,Boulder_Colorado_UnitedStates,Boulder,Colorado,United States
,,,,Broomfield_Colorado_UnitedStates,Broomfield,Colorado,United States
,,,,Chaffee_Colorado_UnitedStates,Chaffee,Colorado,United States
,,,,Cheyenne_Colorado_UnitedStates,Cheyenne,Colorado,United States
,,,,ClearCreek_Colorado_UnitedStates,Clear Creek,Colorado,United States
,,,,Conejos_Colorado_UnitedStates,Conejos,Colorado,United States
,,,,Costilla_Colorado_UnitedStates,Costilla,Colorado,United States
,,,,Crowley_Colorado_UnitedStates,Crowley,Colorado,United States
,,,,Custer_Colorado_UnitedStates,Custer,Colorado,United States
,,,,Delta_Colorado_UnitedStates,Delta,Colorado,United States
,,,,Denver_Colorado_UnitedStates,Denver,Colorado,United States
,,,,Dolores_Colorado_UnitedStates,Dolores,Colorado,United States
,,,,Douglas_Colorado_UnitedStates,Douglas,Colorado,United States
,,,,Eagle_Colorado_UnitedStates,Eagle,Colorado,United States
,,,,Elbert_Colorado_UnitedStates,Elbert,Colorado,United States
,,,,ElPaso_Colorado_UnitedStates,El Paso,Colorado,United States
,,,,Fremont_Colorado_UnitedStates,Fremont,Colorado,United States
,,,,Garfield_Colorado_UnitedStates,Garfield,Colorado,United States
,,,,Gilpin_Colorado_UnitedStates,Gilpin,Colorado,United States
,,,,Grand_Colorado_UnitedStates,Grand,Colorado,United States
,,,,Gunnison_Colorado_UnitedStates,Gunnison,Colorado,United States
,,,,Hinsdale_Colorado_UnitedStates,Hinsdale,Colorado,United States
,,,,Huerfano_Colorado_UnitedStates,Huerfano,Colorado,United States
,,,,Jackson_Colorado_UnitedStates,Jackson,Colorado,United States
,,,,Jefferson_Colorado_UnitedStates,Jefferson,Colorado,United States
,,,,Kiowa_Colorado_UnitedStates,Kiowa,Colorado,United States
,,,,KitCarson_Colorado_UnitedStates,Kit Carson,Colorado,United States
,,,,Lake_Colorado_UnitedStates,Lake,Colorado,United States
,,,,LaPlata_Colorado_UnitedStates,La Plata,Colorado,United States
,,,,Larimer_Colorado_UnitedStates,Larimer,Colorado,United States
,,,,LasAnimas_Colorado_UnitedStates,Las Animas,Colorado,United States
,,,,Lincoln_Colorado_UnitedStates,Lincoln,Colorado,United States
,,,,Logan_Colorado_UnitedStates,Logan,Colorado,United States
,,,,Mesa_Colorado_UnitedStates,Mesa,Colorado,United States
,,,,Mineral_Colorado_UnitedStates,Mineral,Colorado,United States
,,,,Moffat_Colorado_UnitedStates,Moffat,Colorado,United States
,,,,Montezuma_Colorado_UnitedStates,Montezuma,Colorado,United States
,,,,Montrose_Colorado_UnitedStates,Montrose,Colorado,United States
,,,,Morgan_Colorado_UnitedStates,Morgan,Colorado,United States
,,,,Otero_Colorado_UnitedStates,Otero,Colorado,United States
,,,,Ouray_Colorado_UnitedStates,Ouray,Colorado,United States
,,,,Park_Colorado_UnitedStates,Park,Colorado,United States
,,,,Phillips_Colorado_UnitedStates,Phillips,Colorado,United States
,,,,Pitkin_Colorado_UnitedStates,Pitkin,Colorado,United States
,,,,Prowers_Colorado_UnitedStates,Prowers,Colorado,United States
,,,,Pueblo_Colorado_UnitedStates,Pueblo,Colorado,United States
,,,,RioBlanco_Colorado_UnitedStates,Rio Blanco,Colorado,United States
,,,,RioGrande_Colorado_UnitedStates,Rio Grande,Colorado,United States
,,,,Routt_Colorado_UnitedStates,Routt,Colorado,United States
,,,,Saguache_Colorado_UnitedStates,Saguache,Colorado,United States
,,,,SanJuan_Colorado_UnitedStates,San Juan,Colorado,United States
,,,,SanMiguel_Colorado_UnitedStates,San Miguel,Colorado,United States
